pair_key,lsa,sbert,tfidf,total_all_methods
Information-Giving :: Information-Giving_SDOH,5,6,2,13
Information-Giving :: Information-Seeking,12,12,4,28
Information-Giving :: PATIENT_PARTNERSHIP,16,28,6,50
Information-Giving :: PATIENT_SHARED-DECISION_MAKING,0,2,1,3
Information-Giving :: PROVIDER_PARTNERSHIP,9,11,5,25
Information-Giving :: PROVIDER_Shared-Decision_Making,1,8,1,10
Information-Giving :: Socioemotional_/_Empathy,1,1,0,2
Information-Giving_SDOH :: Information-Giving,15,7,2,24
Information-Giving_SDOH :: Information-Seeking,1,2,0,3
Information-Giving_SDOH :: Information-Seeking_SDOH,1,1,0,2
Information-Giving_SDOH :: PATIENT_PARTNERSHIP,0,3,0,3
Information-Giving_SDOH :: PATIENT_SHARED-DECISION_MAKING,2,1,0,3
Information-Giving_SDOH :: PROVIDER_PARTNERSHIP,1,0,0,1
Information-Seeking :: Information-Giving,4,11,1,16
Information-Seeking :: Information-Giving_SDOH,0,1,0,1
Information-Seeking :: PATIENT_PARTNERSHIP,10,7,12,29
Information-Seeking :: PATIENT_SHARED-DECISION_MAKING,1,2,0,3
Information-Seeking :: PROVIDER_PARTNERSHIP,0,1,0,1
Information-Seeking :: PROVIDER_Shared-Decision_Making,0,4,0,4
Information-Seeking_SDOH :: Information-Giving_SDOH,1,0,0,1
Information-Seeking_SDOH :: PATIENT_PARTNERSHIP,0,1,0,1
PATIENT_PARTNERSHIP :: Information-Giving,5,0,0,5
PATIENT_PARTNERSHIP :: Information-Giving_SDOH,0,4,0,4
PATIENT_PARTNERSHIP :: Information-Seeking,3,0,0,3
PATIENT_PARTNERSHIP :: PATIENT_SHARED-DECISION_MAKING,0,1,0,1
PATIENT_PARTNERSHIP :: PROVIDER_PARTNERSHIP,51,35,54,140
PATIENT_PARTNERSHIP :: Socioemotional_/_Empathy,2,2,0,4
PATIENT_SHARED-DECISION_MAKING :: Information-Giving_SDOH,1,0,0,1
PATIENT_SHARED-DECISION_MAKING :: PATIENT_PARTNERSHIP,3,2,5,10
PATIENT_SHARED-DECISION_MAKING :: PROVIDER_PARTNERSHIP,2,0,0,2
PROVIDER_PARTNERSHIP :: Information-Giving,2,0,1,3
PROVIDER_PARTNERSHIP :: PATIENT_PARTNERSHIP,38,39,97,174
PROVIDER_PARTNERSHIP :: PROVIDER_Shared-Decision_Making,1,2,0,3
PROVIDER_PARTNERSHIP :: Socioemotional_/_Empathy,1,1,1,3
PROVIDER_Shared-Decision_Making :: Information-Giving,0,0,1,1
PROVIDER_Shared-Decision_Making :: PATIENT_PARTNERSHIP,0,1,0,1
PROVIDER_Shared-Decision_Making :: PROVIDER_PARTNERSHIP,5,4,3,12
Socioemotional_/_Empathy :: Information-Giving,2,0,1,3
Socioemotional_/_Empathy :: PATIENT_PARTNERSHIP,2,0,1,3
Socioemotional_/_Empathy :: PATIENT_SHARED-DECISION_MAKING,0,0,1,1
Socioemotional_/_Empathy :: PROVIDER_PARTNERSHIP,2,0,1,3
