id,sentences,clauses,phrases
350_1_2,2,4,22
98_2_0,2,2,20
126_0_2,2,2,4
23_0_0,2,3,16
300_1_2,2,3,6
16_1_6,2,2,6
181_0_1,2,2,5
301_0_1,2,2,4
119_1_0,2,2,8
121_2_0,2,5,16
182_1_0,2,4,12
14_2_0,2,4,8
181_1_0,2,2,8
284_0_4,2,2,6
47_3_0,2,3,11
38_2_5,2,3,11
33_1_0,2,4,10
6_2_1,2,2,7
314_0_1,2,2,6
12_0_2,2,2,8
55_0_1,2,2,14
17_7_1,3,5,14
197_1_0,2,2,9
11_0_0,2,2,9
23_2_0,2,3,24
95_0_5,2,2,5
89_0_1,2,2,11
163_0_0,2,4,10
279_1_0,2,5,17
111_6_0,2,2,14
76_0_0,2,2,6
162_1_0,2,3,7
141_2_1,2,2,4
79_0_0,2,2,5
176_2_0,2,2,4
99_1_0,2,4,8
37_2_0,2,2,10
23_0_1,2,2,6
12_1_0,2,3,8
189_2_0,2,2,10
102_1_0,2,2,12
97_1_0,2,5,12
8_2_0,2,4,7
136_0_0,2,3,8
155_0_0,2,4,11
61_3_0,2,2,4
67_0_1,2,3,6
17_2_0,2,2,16
141_3_0,2,2,13
47_4_0,2,2,12
202_3_0,2,4,13
31_0_4,2,3,13
166_2_0,2,2,12
33_1_2,3,6,19
236_0_0,2,2,12
48_0_0,2,2,6
17_2_2,2,2,13
106_1_0,2,2,6
202_1_0,2,7,21
47_2_0,2,3,10
84_1_0,2,2,4
250_2_0,2,2,14
28_0_1,2,4,10
119_3_0,2,2,6
191_1_0,2,2,8
96_1_0,2,2,15
151_0_3,2,3,10
64_2_0,2,2,10
26_0_4,2,3,14
173_0_1,2,3,11
131_1_2,2,4,9
13_2_0,2,3,15
234_2_0,2,2,4
187_3_0,2,4,22
160_1_0,2,2,10
235_0_1,2,2,6
129_2_0,2,4,12
19_0_1,2,2,6
145_0_0,2,2,10
44_0_0,2,3,8
121_1_1,3,4,8
129_1_2,2,3,15
98_1_0,2,3,24
66_3_0,2,3,10
207_2_0,2,2,9
54_2_0,2,2,8
33_2_0,2,5,16
119_4_0,2,2,8
22_2_1,2,2,5
111_4_0,2,4,9
17_10_0,2,2,6
22_0_1,2,2,14
106_4_0,2,2,8
61_0_1,2,2,6
118_2_0,2,2,10
127_1_0,2,2,6
93_2_3,2,4,10
300_0_1,2,2,10
147_1_0,2,2,8
130_0_0,2,2,6
35_0_1,2,4,5
106_2_0,2,2,6
263_0_5,2,3,10
2_1_1,2,2,9
193_1_0,2,2,5
231_3_0,2,4,11
32_0_5,2,4,12
132_0_2,2,3,25
133_0_1,2,4,14
17_9_3,2,4,16
2_0_0,2,2,12
232_1_1,2,2,11
15_0_1,2,2,11
13_1_2,2,2,9
96_1_2,2,2,12
104_3_1,2,2,9
90_1_4,2,3,12
56_0_2,2,3,12
203_0_0,3,4,14
204_1_4,2,2,6
266_4_1,2,2,13
223_3_0,2,5,28
6_2_2,2,2,8
37_5_0,2,5,15
101_2_0,2,2,4
175_0_1,2,2,11
67_0_0,2,3,10
119_6_0,2,4,10
155_0_2,2,2,5
215_2_0,2,4,24
119_2_0,2,2,6
31_0_0,2,4,9
197_0_1,2,2,22
63_0_2,2,2,6
47_1_0,2,2,12
228_0_1,3,5,21
37_0_1,2,2,6
84_2_0,2,5,18
126_4_3,2,2,8
351_0_1,2,2,11
38_5_2,2,2,16
37_6_0,2,2,9
258_0_5,2,2,10
220_3_1,2,2,8
317_0_2,2,2,10
123_3_1,2,4,7
6_2_0,2,2,10
140_2_0,2,2,4
13_1_1,2,2,7
197_2_0,2,2,12
115_1_0,3,3,12
147_0_0,2,4,13
136_1_0,2,4,18
38_2_4,2,3,9
38_3_0,2,4,8
17_2_3,2,2,5
25_1_0,2,2,6
5_0_2,2,2,6
232_5_0,2,2,15
23_1_0,2,2,6
110_0_1,2,2,9
38_2_1,2,2,6
220_0_0,2,4,13
56_0_1,2,4,12
125_2_0,2,5,10
135_1_0,2,2,13
59_1_0,2,3,13
21_4_0,2,2,2
118_1_0,2,2,6
62_0_0,2,2,10
34_3_0,2,2,6
261_0_0,2,2,9
38_2_3,2,2,16
208_0_1,2,2,10
70_0_1,2,3,18
1_1_0,2,3,10
175_0_0,2,2,10
75_2_0,3,4,9
211_0_2,2,3,17
54_5_2,2,2,4
60_1_0,2,2,4
242_0_1,2,2,6
197_5_0,2,2,10
46_0_1,2,2,6
14_1_0,2,2,10
254_1_0,2,2,14
21_0_1,2,4,13
207_0_1,2,2,8
68_2_0,2,3,12
20_0_4,2,4,10
253_1_0,2,2,8
17_1_1,2,2,15
336_1_0,2,3,15
169_1_0,2,2,10
138_1_0,2,4,11
198_1_0,2,3,14
63_0_0,2,4,8
155_0_1,2,3,9
68_3_0,2,2,11
223_4_0,2,2,26
168_0_1,2,2,19
259_0_0,2,2,2
233_0_0,3,5,17
154_7_0,2,2,12
140_0_1,2,4,12
116_1_0,2,2,10
133_1_4,2,4,13
187_4_0,2,2,26
93_1_0,2,2,12
182_0_1,2,2,14
135_2_1,2,2,18
13_4_0,2,2,11
154_5_0,2,2,16
94_2_0,2,2,2
126_1_0,2,3,9
158_0_0,2,2,14
17_6_1,2,2,6
21_1_1,3,4,18
104_1_0,2,2,6
183_1_1,2,2,9
78_0_0,2,4,20
126_1_1,2,3,13
111_2_0,2,2,14
17_8_0,2,4,11
67_0_4,2,4,16
233_3_0,2,2,6
106_0_1,2,2,6
75_2_1,2,5,18
43_1_0,2,2,10
27_0_3,2,2,6
24_0_2,2,2,9
124_1_0,2,2,6
14_0_0,2,2,9
40_0_1,2,4,12
111_3_2,2,2,12
172_0_0,2,3,9
17_6_0,2,2,4
66_1_1,2,3,14
17_3_0,2,2,5
123_1_0,2,2,10
15_2_1,3,4,14
270_1_0,2,2,10
85_0_1,2,2,6
59_0_1,2,4,9
22_2_0,2,3,15
11_1_0,2,2,5
239_0_1,2,2,6
72_0_0,2,3,9
250_4_0,2,2,10
207_1_0,2,4,10
61_2_2,3,4,14
24_0_1,2,2,10
315_5_0,2,3,10
147_2_0,2,2,10
80_0_1,2,4,8
42_0_0,2,4,8
97_0_3,2,5,21
169_0_0,2,2,6
13_5_0,2,2,12
26_1_0,3,3,15
54_5_1,2,3,6
119_5_0,2,2,6
131_2_0,2,4,18
204_0_1,2,4,7
68_0_1,2,2,6
41_0_0,2,2,10
31_1_0,2,2,5
93_2_2,2,2,9
127_0_0,2,2,10
15_2_3,2,2,8
54_4_0,2,2,16
58_2_0,2,2,14
121_0_1,2,5,11
215_0_2,2,2,15
350_2_0,2,2,24
216_2_3,2,2,8
234_1_1,2,2,16
15_2_5,2,2,6
74_0_0,3,5,13
101_0_1,2,2,10
93_0_1,2,2,12
239_1_0,2,3,12
37_8_0,2,2,12
60_0_1,3,4,10
39_0_1,2,4,12
199_0_1,2,3,10
164_0_0,2,2,11
196_0_1,2,4,15
56_1_0,2,2,8
17_4_2,2,2,13
266_5_3,2,3,13
141_1_0,2,4,9
127_3_0,2,4,12
161_0_1,2,2,10
137_0_1,2,2,6
227_1_0,2,2,6
54_5_3,2,2,6
64_1_0,2,2,6
68_2_1,2,2,10
101_1_0,2,2,4
315_3_1,2,4,19
13_7_0,2,2,14
141_4_0,2,2,9
121_3_0,2,4,24
138_2_1,2,5,10
59_1_1,3,4,12
27_0_2,2,3,14
188_2_0,2,2,4
217_0_1,2,2,6
106_3_0,2,2,16
154_0_0,2,2,21
280_3_4,2,5,14
93_3_0,2,2,11
162_0_0,2,3,15
15_3_2,2,2,4
33_1_5,2,2,8
37_7_0,2,2,7
108_1_0,2,2,4
239_1_1,2,2,9
57_0_1,2,2,6
17_11_3,2,2,9
230_0_3,2,3,7
58_0_1,2,3,8
154_4_0,2,4,11
199_1_0,2,2,9
267_0_1,2,3,14
153_0_0,2,2,8
135_2_0,2,2,18
37_3_2,2,2,16
315_5_2,2,3,14
119_0_0,2,4,13
34_0_2,2,2,20
43_0_1,2,2,16
15_3_1,2,2,5
292_1_0,2,2,10
66_3_1,2,3,8
17_4_1,2,2,13
21_2_0,2,4,14
64_0_0,2,4,16
18_0_5,3,5,13
230_0_4,2,3,6
126_5_0,2,2,6
49_1_0,2,6,18
66_2_0,2,5,12
133_1_1,2,2,7
75_1_0,2,2,12
71_0_1,3,4,14
111_1_0,2,4,9
17_2_4,2,2,4
157_0_1,2,4,15
64_3_2,2,2,6
65_0_0,3,3,12
0_0_1,3,3,4
16_1_3,2,2,8
154_1_1,2,3,14
335_0_1,2,2,12
126_4_1,2,2,15
155_0_3,2,2,4
37_0_3,2,2,16
184_0_1,2,2,7
