label_A,label_B,count_lsa,avg_sim_lsa,n_A_lsa,n_B_lsa,ratio_A_lsa,ratio_B_lsa,count_sbert,avg_sim_sbert,n_A_sbert,n_B_sbert,ratio_A_sbert,ratio_B_sbert,count_tdidf,avg_sim_tdidf,n_A_tdidf,n_B_tdidf,ratio_A_tdidf,ratio_B_tdidf,count_sum_all_methods
Acknowledge_Error,Alignment,,,,,,,1.0,0.5878,16.0,88.0,0.0625,0.0114,,,,,,,1.0
Acknowledge_Error,Approval/Reinforcement,2.0,0.688,16.0,25.0,0.125,0.08,1.0,0.5801,16.0,25.0,0.0625,0.04,,,,,,,3.0
Acknowledge_Error,Care_Coordination,,,,,,,2.0,0.5648,16.0,176.0,0.125,0.0114,,,,,,,2.0
Acknowledge_Error,Connection,19.0,0.7597,16.0,105.0,1.1875,0.181,5.0,0.5958,16.0,105.0,0.3125,0.0476,6.0,0.7611,16.0,105.0,0.375,0.0571,30.0
Acknowledge_Error,Diagnostics,5.0,0.6156,16.0,205.0,0.3125,0.0244,,,,,,,2.0,0.5926,16.0,205.0,0.125,0.0098,7.0
Acknowledge_Error,Drugs,2.0,0.6407,16.0,174.0,0.125,0.0115,,,,,,,,,,,,,2.0
Acknowledge_Error,Economic_stability,,,,,,,1.0,0.6545,16.0,25.0,0.0625,0.04,,,,,,,1.0
Acknowledge_Error,Express_concern/unease,4.0,0.6312,16.0,25.0,0.25,0.16,10.0,0.6801,16.0,25.0,0.625,0.4,,,,,,,14.0
Acknowledge_Error,General_information,4.0,0.603,16.0,162.0,0.25,0.0247,2.0,0.6067,16.0,162.0,0.125,0.0123,,,,,,,6.0
Acknowledge_Error,Maintain_communication,4.0,0.6111,16.0,74.0,0.25,0.0541,,,,,,,,,,,,,4.0
Acknowledge_Error,Reassurance,,,,,,,2.0,0.5764,16.0,14.0,0.125,0.1429,,,,,,,2.0
Acknowledge_Error,Sadness/fear,11.0,0.7256,16.0,10.0,0.6875,1.1,8.0,0.6846,16.0,10.0,0.5,0.8,6.0,0.787,16.0,10.0,0.375,0.6,25.0
Acknowledge_Error,Scheduling_appt,,,,,,,1.0,0.5815,16.0,153.0,0.0625,0.0065,,,,,,,1.0
Acknowledge_Error,active_participation_/involvement,,,,,,,3.0,0.5756,16.0,146.0,0.1875,0.0205,,,,,,,3.0
Acknowledge_Error,build_trust,2.0,0.558,16.0,9.0,0.125,0.2222,,,,,,,,,,,,,2.0
Acknowledge_Error,express_opinions,2.0,0.5834,16.0,52.0,0.125,0.0385,,,,,,,,,,,,,2.0
Acknowledge_Error,instruction,,,,,,,2.0,0.585,16.0,44.0,0.125,0.0455,,,,,,,2.0
Acknowledge_Error,state_preferences,1.0,0.61,16.0,45.0,0.0625,0.0222,,,,,,,,,,,,,1.0
Alignment,Appreciation/gratitude,,,,,,,1.0,0.5923,88.0,121.0,0.0114,0.0083,,,,,,,1.0
Alignment,Approval/Reinforcement,19.0,0.7305,88.0,25.0,0.2159,0.76,9.0,0.6868,88.0,25.0,0.1023,0.36,7.0,0.7412,88.0,25.0,0.0795,0.28,35.0
Alignment,Care_Coordination,7.0,0.6285,88.0,176.0,0.0795,0.0398,10.0,0.7439,88.0,176.0,0.1136,0.0568,,,,,,,17.0
Alignment,Connection,51.0,0.836,88.0,105.0,0.5795,0.4857,45.0,0.7583,88.0,105.0,0.5114,0.4286,32.0,0.9322,88.0,105.0,0.3636,0.3048,128.0
Alignment,Diagnostics,19.0,0.6519,88.0,205.0,0.2159,0.0927,4.0,0.6317,88.0,205.0,0.0455,0.0195,2.0,0.5825,88.0,205.0,0.0227,0.0098,25.0
Alignment,Drugs,11.0,0.7201,88.0,174.0,0.125,0.0632,2.0,0.6213,88.0,174.0,0.0227,0.0115,4.0,0.5842,88.0,174.0,0.0455,0.023,17.0
Alignment,Economic_stability,,,,,,,1.0,0.7085,88.0,25.0,0.0114,0.04,,,,,,,1.0
Alignment,Express_concern/unease,8.0,0.6583,88.0,25.0,0.0909,0.32,,,,,,,,,,,,,8.0
Alignment,General_information,12.0,0.7473,88.0,162.0,0.1364,0.0741,5.0,0.7421,88.0,162.0,0.0568,0.0309,6.0,0.5973,88.0,162.0,0.0682,0.037,23.0
Alignment,Health_care_access_and_quality,10.0,0.6314,88.0,100.0,0.1136,0.1,2.0,0.7662,88.0,100.0,0.0227,0.02,,,,,,,12.0
Alignment,Maintain_communication,2.0,0.6415,88.0,74.0,0.0227,0.027,,,,,,,,,,,,,2.0
Alignment,Positive_Remarks/Reward,8.0,0.628,88.0,6.0,0.0909,1.3333,,,,,,,,,,,,,8.0
Alignment,Reassurance,2.0,0.5849,88.0,14.0,0.0227,0.1429,3.0,0.6817,88.0,14.0,0.0341,0.2143,,,,,,,5.0
Alignment,Scheduling_appt,2.0,0.6014,88.0,153.0,0.0227,0.0131,13.0,0.6517,88.0,153.0,0.1477,0.085,,,,,,,15.0
Alignment,Seeking_Approval,6.0,0.708,88.0,29.0,0.0682,0.2069,,,,,,,4.0,0.6276,88.0,29.0,0.0455,0.1379,10.0
Alignment,Symptoms,7.0,0.8153,88.0,115.0,0.0795,0.0609,1.0,0.5547,88.0,115.0,0.0114,0.0087,5.0,0.8802,88.0,115.0,0.0568,0.0435,13.0
Alignment,active_participation_/involvement,9.0,0.7896,88.0,146.0,0.1023,0.0616,18.0,0.6734,88.0,146.0,0.2045,0.1233,6.0,0.8676,88.0,146.0,0.0682,0.0411,33.0
Alignment,build_trust,2.0,0.6324,88.0,9.0,0.0227,0.2222,,,,,,,,,,,,,2.0
Alignment,invite_collaboration,6.0,0.7558,88.0,11.0,0.0682,0.5455,3.0,0.8355,88.0,11.0,0.0341,0.2727,2.0,0.7199,88.0,11.0,0.0227,0.1818,11.0
Alignment,salutation,4.0,1.0,88.0,333.0,0.0455,0.012,9.0,0.8868,88.0,333.0,0.1023,0.027,4.0,1.0,88.0,333.0,0.0455,0.012,17.0
Alignment,state_preferences,1.0,0.677,88.0,45.0,0.0114,0.0222,2.0,0.7194,88.0,45.0,0.0227,0.0444,2.0,0.5938,88.0,45.0,0.0227,0.0444,5.0
Appreciation/gratitude,Care_Coordination,,,,,,,6.0,0.7394,121.0,176.0,0.0496,0.0341,,,,,,,6.0
Appreciation/gratitude,Connection,5.0,0.8535,121.0,105.0,0.0413,0.0476,13.0,0.6442,121.0,105.0,0.1074,0.1238,6.0,0.825,121.0,105.0,0.0496,0.0571,24.0
Appreciation/gratitude,Drugs,4.0,0.654,121.0,174.0,0.0331,0.023,,,,,,,,,,,,,4.0
Appreciation/gratitude,Maintain_communication,7.0,0.5616,121.0,74.0,0.0579,0.0946,1.0,0.5519,121.0,74.0,0.0083,0.0135,2.0,0.5545,121.0,74.0,0.0165,0.027,10.0
Appreciation/gratitude,Positive_Remarks/Reward,2.0,0.7831,121.0,6.0,0.0165,0.3333,2.0,0.6648,121.0,6.0,0.0165,0.3333,2.0,0.687,121.0,6.0,0.0165,0.3333,6.0
Appreciation/gratitude,Scheduling_appt,,,,,,,2.0,0.5735,121.0,153.0,0.0165,0.0131,,,,,,,2.0
Appreciation/gratitude,active_participation_/involvement,2.0,0.553,121.0,146.0,0.0165,0.0137,8.0,0.6021,121.0,146.0,0.0661,0.0548,,,,,,,10.0
Appreciation/gratitude,build_trust,2.0,0.5736,121.0,9.0,0.0165,0.2222,,,,,,,,,,,,,2.0
Appreciation/gratitude,salutation,7.0,0.6744,121.0,333.0,0.0579,0.021,2.0,0.8859,121.0,333.0,0.0165,0.006,,,,,,,9.0
Appreciation/gratitude,signoff,552.0,0.9851,121.0,249.0,4.562,2.2169,499.0,0.9801,121.0,249.0,4.124,2.004,573.0,0.9876,121.0,249.0,4.7355,2.3012,1624.0
Approval/Reinforcement,Care_Coordination,1.0,0.5818,25.0,176.0,0.04,0.0057,7.0,0.6159,25.0,176.0,0.28,0.0398,,,,,,,8.0
Approval/Reinforcement,Connection,4.0,0.6656,25.0,105.0,0.16,0.0381,9.0,0.6982,25.0,105.0,0.36,0.0857,,,,,,,13.0
Approval/Reinforcement,Diagnostics,10.0,0.6645,25.0,205.0,0.4,0.0488,12.0,0.7092,25.0,205.0,0.48,0.0585,2.0,1.0,25.0,205.0,0.08,0.0098,24.0
Approval/Reinforcement,Drugs,18.0,0.6867,25.0,174.0,0.72,0.1034,29.0,0.7342,25.0,174.0,1.16,0.1667,2.0,0.7847,25.0,174.0,0.08,0.0115,49.0
Approval/Reinforcement,Economic_stability,,,,,,,1.0,0.7096,25.0,25.0,0.04,0.04,,,,,,,1.0
Approval/Reinforcement,Explore_options,,,,,,,3.0,0.6079,25.0,18.0,0.12,0.1667,,,,,,,3.0
Approval/Reinforcement,Express_concern/unease,,,,,,,2.0,0.5559,25.0,25.0,0.08,0.08,,,,,,,2.0
Approval/Reinforcement,General_information,5.0,0.6314,25.0,162.0,0.2,0.0309,4.0,0.5969,25.0,162.0,0.16,0.0247,,,,,,,9.0
Approval/Reinforcement,Health_care_access_and_quality,2.0,0.6599,25.0,100.0,0.08,0.02,2.0,0.6494,25.0,100.0,0.08,0.02,,,,,,,4.0
Approval/Reinforcement,Maintain_communication,2.0,0.5555,25.0,74.0,0.08,0.027,,,,,,,,,,,,,2.0
Approval/Reinforcement,Making_decision_together,,,,,,,1.0,0.6517,25.0,13.0,0.04,0.0769,,,,,,,1.0
Approval/Reinforcement,Neighborhood_and_built_environment,2.0,0.6712,25.0,7.0,0.08,0.2857,,,,,,,,,,,,,2.0
Approval/Reinforcement,Reassurance,5.0,0.7549,25.0,14.0,0.2,0.3571,2.0,0.8651,25.0,14.0,0.08,0.1429,2.0,1.0,25.0,14.0,0.08,0.1429,9.0
Approval/Reinforcement,Scheduling_appt,,,,,,,21.0,0.6619,25.0,153.0,0.84,0.1373,,,,,,,21.0
Approval/Reinforcement,Seeking_Approval,4.0,0.6184,25.0,29.0,0.16,0.1379,20.0,0.7053,25.0,29.0,0.8,0.6897,,,,,,,24.0
Approval/Reinforcement,Share_options,,,,,,,5.0,0.6346,25.0,17.0,0.2,0.2941,,,,,,,5.0
Approval/Reinforcement,active_participation_/involvement,,,,,,,8.0,0.6185,25.0,146.0,0.32,0.0548,,,,,,,8.0
Approval/Reinforcement,checking_understanding/clarification,,,,,,,2.0,0.6434,25.0,20.0,0.08,0.1,,,,,,,2.0
Approval/Reinforcement,express_opinions,,,,,,,1.0,0.6318,25.0,52.0,0.04,0.0192,,,,,,,1.0
Approval/Reinforcement,instruction,,,,,,,2.0,0.5767,25.0,44.0,0.08,0.0455,,,,,,,2.0
Approval/Reinforcement,invite_collaboration,2.0,0.8323,25.0,11.0,0.08,0.1818,2.0,0.9044,25.0,11.0,0.08,0.1818,2.0,0.7199,25.0,11.0,0.08,0.1818,6.0
Approval/Reinforcement,state_preferences,1.0,0.6114,25.0,45.0,0.04,0.0222,1.0,0.7141,25.0,45.0,0.04,0.0222,,,,,,,2.0
Care_Coordination,Connection,13.0,0.6584,176.0,105.0,0.0739,0.1238,24.0,0.5987,176.0,105.0,0.1364,0.2286,4.0,0.5827,176.0,105.0,0.0227,0.0381,41.0
Care_Coordination,Diagnostics,21.0,0.6853,176.0,205.0,0.1193,0.1024,42.0,0.6257,176.0,205.0,0.2386,0.2049,4.0,0.5768,176.0,205.0,0.0227,0.0195,67.0
Care_Coordination,Drugs,42.0,0.6459,176.0,174.0,0.2386,0.2414,49.0,0.6145,176.0,174.0,0.2784,0.2816,,,,,,,91.0
Care_Coordination,Economic_stability,4.0,0.5978,176.0,25.0,0.0227,0.16,8.0,0.637,176.0,25.0,0.0455,0.32,,,,,,,12.0
Care_Coordination,Explore_options,,,,,,,11.0,0.6002,176.0,18.0,0.0625,0.6111,,,,,,,11.0
Care_Coordination,General_information,39.0,0.6347,176.0,162.0,0.2216,0.2407,80.0,0.6496,176.0,162.0,0.4545,0.4938,4.0,0.6695,176.0,162.0,0.0227,0.0247,123.0
Care_Coordination,Health_care_access_and_quality,18.0,0.6488,176.0,100.0,0.1023,0.18,45.0,0.6467,176.0,100.0,0.2557,0.45,2.0,0.6174,176.0,100.0,0.0114,0.02,65.0
Care_Coordination,Maintain_communication,14.0,0.6715,176.0,74.0,0.0795,0.1892,48.0,0.6967,176.0,74.0,0.2727,0.6486,2.0,1.0,176.0,74.0,0.0114,0.027,64.0
Care_Coordination,Making_decision_together,2.0,0.6105,176.0,13.0,0.0114,0.1538,2.0,0.6137,176.0,13.0,0.0114,0.1538,,,,,,,4.0
Care_Coordination,Reassurance,,,,,,,6.0,0.6289,176.0,14.0,0.0341,0.4286,,,,,,,6.0
Care_Coordination,Scheduling_appt,51.0,0.6241,176.0,153.0,0.2898,0.3333,115.0,0.6918,176.0,153.0,0.6534,0.7516,2.0,0.575,176.0,153.0,0.0114,0.0131,168.0
Care_Coordination,Seeking_Approval,,,,,,,7.0,0.6698,176.0,29.0,0.0398,0.2414,,,,,,,7.0
Care_Coordination,Share_options,6.0,0.6788,176.0,17.0,0.0341,0.3529,4.0,0.5965,176.0,17.0,0.0227,0.2353,2.0,0.6601,176.0,17.0,0.0114,0.1176,12.0
Care_Coordination,Symptoms,10.0,0.596,176.0,115.0,0.0568,0.087,15.0,0.5871,176.0,115.0,0.0852,0.1304,,,,,,,25.0
Care_Coordination,active_participation_/involvement,31.0,0.625,176.0,146.0,0.1761,0.2123,105.0,0.6652,176.0,146.0,0.5966,0.7192,6.0,0.6432,176.0,146.0,0.0341,0.0411,142.0
Care_Coordination,build_trust,,,,,,,1.0,0.5948,176.0,9.0,0.0057,0.1111,,,,,,,1.0
Care_Coordination,checking_understanding/clarification,,,,,,,2.0,0.5938,176.0,20.0,0.0114,0.1,,,,,,,2.0
Care_Coordination,express_opinions,4.0,0.5807,176.0,52.0,0.0227,0.0769,15.0,0.6201,176.0,52.0,0.0852,0.2885,,,,,,,19.0
Care_Coordination,instruction,11.0,0.623,176.0,44.0,0.0625,0.25,20.0,0.6529,176.0,44.0,0.1136,0.4545,,,,,,,31.0
Care_Coordination,invite_collaboration,2.0,0.5662,176.0,11.0,0.0114,0.1818,1.0,0.5835,176.0,11.0,0.0057,0.0909,,,,,,,3.0
Care_Coordination,signoff,,,,,,,1.0,0.5592,176.0,249.0,0.0057,0.004,,,,,,,1.0
Care_Coordination,state_preferences,5.0,0.6184,176.0,45.0,0.0284,0.1111,32.0,0.6327,176.0,45.0,0.1818,0.7111,,,,,,,37.0
Connection,Diagnostics,10.0,0.6617,105.0,205.0,0.0952,0.0488,,,,,,,4.0,0.6013,105.0,205.0,0.0381,0.0195,14.0
Connection,Drugs,10.0,0.6821,105.0,174.0,0.0952,0.0575,,,,,,,4.0,0.6011,105.0,174.0,0.0381,0.023,14.0
Connection,Economic_stability,,,,,,,,,,,,,1.0,0.5662,105.0,25.0,0.0095,0.04,1.0
Connection,General_information,10.0,0.6653,105.0,162.0,0.0952,0.0617,14.0,0.625,105.0,162.0,0.1333,0.0864,4.0,0.5729,105.0,162.0,0.0381,0.0247,28.0
Connection,Health_care_access_and_quality,1.0,0.6302,105.0,100.0,0.0095,0.01,,,,,,,,,,,,,1.0
Connection,Maintain_communication,4.0,0.8861,105.0,74.0,0.0381,0.0541,9.0,0.705,105.0,74.0,0.0857,0.1216,4.0,0.7276,105.0,74.0,0.0381,0.0541,17.0
Connection,Positive_Remarks/Reward,3.0,0.8522,105.0,6.0,0.0286,0.5,7.0,0.6836,105.0,6.0,0.0667,1.1667,2.0,1.0,105.0,6.0,0.019,0.3333,12.0
Connection,Reassurance,16.0,0.7658,105.0,14.0,0.1524,1.1429,12.0,0.6987,105.0,14.0,0.1143,0.8571,6.0,0.7289,105.0,14.0,0.0571,0.4286,34.0
Connection,Sadness/fear,15.0,0.6971,105.0,10.0,0.1429,1.5,6.0,0.5943,105.0,10.0,0.0571,0.6,2.0,1.0,105.0,10.0,0.019,0.2,23.0
Connection,Scheduling_appt,13.0,0.6647,105.0,153.0,0.1238,0.085,9.0,0.723,105.0,153.0,0.0857,0.0588,2.0,0.5564,105.0,153.0,0.019,0.0131,24.0
Connection,Seeking_Approval,2.0,0.638,105.0,29.0,0.019,0.069,,,,,,,,,,,,,2.0
Connection,Share_options,2.0,0.6637,105.0,17.0,0.019,0.1176,,,,,,,,,,,,,2.0
Connection,Symptoms,8.0,0.6364,105.0,115.0,0.0762,0.0696,9.0,0.6531,105.0,115.0,0.0857,0.0783,2.0,0.6186,105.0,115.0,0.019,0.0174,19.0
Connection,active_participation_/involvement,6.0,0.7673,105.0,146.0,0.0571,0.0411,8.0,0.6348,105.0,146.0,0.0762,0.0548,4.0,0.7761,105.0,146.0,0.0381,0.0274,18.0
Connection,build_trust,2.0,0.5531,105.0,9.0,0.019,0.2222,,,,,,,,,,,,,2.0
Connection,express_opinions,6.0,0.6643,105.0,52.0,0.0571,0.1154,2.0,0.5759,105.0,52.0,0.019,0.0385,,,,,,,8.0
Connection,instruction,2.0,0.6277,105.0,44.0,0.019,0.0455,2.0,0.5666,105.0,44.0,0.019,0.0455,,,,,,,4.0
Connection,invite_collaboration,4.0,0.6702,105.0,11.0,0.0381,0.3636,1.0,0.5774,105.0,11.0,0.0095,0.0909,,,,,,,5.0
Connection,salutation,16.0,0.7346,105.0,333.0,0.1524,0.048,4.0,0.7084,105.0,333.0,0.0381,0.012,12.0,0.6026,105.0,333.0,0.1143,0.036,32.0
Connection,signoff,80.0,0.8529,105.0,249.0,0.7619,0.3213,76.0,0.8098,105.0,249.0,0.7238,0.3052,56.0,0.8215,105.0,249.0,0.5333,0.2249,212.0
Connection,state_preferences,9.0,0.6324,105.0,45.0,0.0857,0.2,1.0,0.5713,105.0,45.0,0.0095,0.0222,2.0,0.6713,105.0,45.0,0.019,0.0444,12.0
Diagnostics,Drugs,69.0,0.6487,205.0,174.0,0.3366,0.3966,21.0,0.6459,205.0,174.0,0.1024,0.1207,6.0,0.5771,205.0,174.0,0.0293,0.0345,96.0
Diagnostics,Economic_stability,12.0,0.6791,205.0,25.0,0.0585,0.48,6.0,0.6439,205.0,25.0,0.0293,0.24,,,,,,,18.0
Diagnostics,Explore_options,6.0,0.6175,205.0,18.0,0.0293,0.3333,6.0,0.6003,205.0,18.0,0.0293,0.3333,,,,,,,12.0
Diagnostics,Express_concern/unease,4.0,0.6188,205.0,25.0,0.0195,0.16,8.0,0.5774,205.0,25.0,0.039,0.32,,,,,,,12.0
Diagnostics,General_information,53.0,0.6795,205.0,162.0,0.2585,0.3272,17.0,0.6433,205.0,162.0,0.0829,0.1049,2.0,1.0,205.0,162.0,0.0098,0.0123,72.0
Diagnostics,Health_care_access_and_quality,40.0,0.6473,205.0,100.0,0.1951,0.4,38.0,0.6937,205.0,100.0,0.1854,0.38,2.0,0.738,205.0,100.0,0.0098,0.02,80.0
Diagnostics,Maintain_communication,8.0,0.6434,205.0,74.0,0.039,0.1081,26.0,0.6174,205.0,74.0,0.1268,0.3514,2.0,0.6612,205.0,74.0,0.0098,0.027,36.0
Diagnostics,Making_decision_together,6.0,0.6266,205.0,13.0,0.0293,0.4615,5.0,0.6566,205.0,13.0,0.0244,0.3846,,,,,,,11.0
Diagnostics,Neighborhood_and_built_environment,2.0,0.5711,205.0,7.0,0.0098,0.2857,5.0,0.5778,205.0,7.0,0.0244,0.7143,,,,,,,7.0
Diagnostics,Prognosis,2.0,0.5515,205.0,6.0,0.0098,0.3333,4.0,0.5539,205.0,6.0,0.0195,0.6667,,,,,,,6.0
Diagnostics,Reassurance,2.0,0.6594,205.0,14.0,0.0098,0.1429,5.0,0.5793,205.0,14.0,0.0244,0.3571,,,,,,,7.0
Diagnostics,Scheduling_appt,49.0,0.6403,205.0,153.0,0.239,0.3203,113.0,0.6759,205.0,153.0,0.5512,0.7386,4.0,0.5616,205.0,153.0,0.0195,0.0261,166.0
Diagnostics,Seeking_Approval,4.0,0.61,205.0,29.0,0.0195,0.1379,7.0,0.6324,205.0,29.0,0.0341,0.2414,,,,,,,11.0
Diagnostics,Share_options,,,,,,,8.0,0.6332,205.0,17.0,0.039,0.4706,,,,,,,8.0
Diagnostics,Summarize_and_confirm_understanding,2.0,0.6946,205.0,7.0,0.0098,0.2857,4.0,0.725,205.0,7.0,0.0195,0.5714,,,,,,,6.0
Diagnostics,Symptoms,33.0,0.6325,205.0,115.0,0.161,0.287,4.0,0.6193,205.0,115.0,0.0195,0.0348,4.0,0.6082,205.0,115.0,0.0195,0.0348,41.0
Diagnostics,active_participation_/involvement,53.0,0.6848,205.0,146.0,0.2585,0.363,110.0,0.6605,205.0,146.0,0.5366,0.7534,14.0,0.6968,205.0,146.0,0.0683,0.0959,177.0
Diagnostics,build_trust,,,,,,,6.0,0.6752,205.0,9.0,0.0293,0.6667,,,,,,,6.0
Diagnostics,checking_understanding/clarification,,,,,,,11.0,0.6164,205.0,20.0,0.0537,0.55,,,,,,,11.0
Diagnostics,express_opinions,6.0,0.6321,205.0,52.0,0.0293,0.1154,31.0,0.6328,205.0,52.0,0.1512,0.5962,,,,,,,37.0
Diagnostics,instruction,2.0,0.781,205.0,44.0,0.0098,0.0455,48.0,0.6428,205.0,44.0,0.2341,1.0909,,,,,,,50.0
Diagnostics,invite_collaboration,,,,,,,2.0,0.6862,205.0,11.0,0.0098,0.1818,,,,,,,2.0
Diagnostics,state_preferences,10.0,0.6178,205.0,45.0,0.0488,0.2222,7.0,0.6264,205.0,45.0,0.0341,0.1556,2.0,0.6079,205.0,45.0,0.0098,0.0444,19.0
Drugs,Economic_stability,6.0,0.6723,174.0,25.0,0.0345,0.24,4.0,0.6173,174.0,25.0,0.023,0.16,,,,,,,10.0
Drugs,Encourage_questions,2.0,0.637,174.0,2.0,0.0115,1.0,,,,,,,,,,,,,2.0
Drugs,Explore_options,,,,,,,15.0,0.6121,174.0,18.0,0.0862,0.8333,,,,,,,15.0
Drugs,Express_concern/unease,4.0,0.6451,174.0,25.0,0.023,0.16,4.0,0.5849,174.0,25.0,0.023,0.16,,,,,,,8.0
Drugs,General_information,50.0,0.6462,174.0,162.0,0.2874,0.3086,14.0,0.6273,174.0,162.0,0.0805,0.0864,,,,,,,64.0
Drugs,Health_care_access_and_quality,16.0,0.657,174.0,100.0,0.092,0.16,67.0,0.6397,174.0,100.0,0.3851,0.67,2.0,0.557,174.0,100.0,0.0115,0.02,85.0
Drugs,Maintain_communication,14.0,0.6791,174.0,74.0,0.0805,0.1892,22.0,0.6337,174.0,74.0,0.1264,0.2973,2.0,0.8667,174.0,74.0,0.0115,0.027,38.0
Drugs,Making_decision_together,4.0,0.6882,174.0,13.0,0.023,0.3077,10.0,0.6388,174.0,13.0,0.0575,0.7692,,,,,,,14.0
Drugs,Positive_Remarks/Reward,2.0,0.735,174.0,6.0,0.0115,0.3333,,,,,,,,,,,,,2.0
Drugs,Reassurance,2.0,0.5584,174.0,14.0,0.0115,0.1429,,,,,,,,,,,,,2.0
Drugs,Scheduling_appt,37.0,0.65,174.0,153.0,0.2126,0.2418,40.0,0.6399,174.0,153.0,0.2299,0.2614,,,,,,,77.0
Drugs,Seeking_Approval,13.0,0.5888,174.0,29.0,0.0747,0.4483,45.0,0.6562,174.0,29.0,0.2586,1.5517,2.0,0.5755,174.0,29.0,0.0115,0.069,60.0
Drugs,Share_options,,,,,,,11.0,0.6548,174.0,17.0,0.0632,0.6471,,,,,,,11.0
Drugs,Symptoms,22.0,0.6404,174.0,115.0,0.1264,0.1913,5.0,0.616,174.0,115.0,0.0287,0.0435,,,,,,,27.0
Drugs,active_participation_/involvement,34.0,0.6435,174.0,146.0,0.1954,0.2329,60.0,0.6311,174.0,146.0,0.3448,0.411,6.0,0.6939,174.0,146.0,0.0345,0.0411,100.0
Drugs,checking_understanding/clarification,2.0,1.0,174.0,20.0,0.0115,0.1,11.0,0.7049,174.0,20.0,0.0632,0.55,2.0,1.0,174.0,20.0,0.0115,0.1,15.0
Drugs,express_opinions,7.0,0.6914,174.0,52.0,0.0402,0.1346,25.0,0.6293,174.0,52.0,0.1437,0.4808,,,,,,,32.0
Drugs,instruction,,,,,,,11.0,0.6415,174.0,44.0,0.0632,0.25,,,,,,,11.0
Drugs,invite_collaboration,3.0,0.5938,174.0,11.0,0.0172,0.2727,2.0,0.6095,174.0,11.0,0.0115,0.1818,,,,,,,5.0
Drugs,salutation,1.0,0.6174,174.0,333.0,0.0057,0.003,,,,,,,,,,,,,1.0
