phrase_text,phrase_type,occurrences,doc_freq,avg_len_char,avg_len_tokens,top_label_by_PMI,top_label_PMI,label_purity,label_entropy,label_Care_Coordination_docfreq,label_Diagnostics_docfreq,label_Drugs_docfreq,label_General_information_docfreq,label_Scheduling_appt_docfreq,label_Symptoms_docfreq,label_Care_Coordination_PMI,label_Diagnostics_PMI,label_Drugs_PMI,label_General_information_PMI,label_Scheduling_appt_PMI,label_Symptoms_PMI
the middle,NP,2,1,10,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
of MM/DD/YYYY,PP,4,2,13,2,Scheduling_appt,1.585,0.5,1.0,0,0,0,0,1,1,,,,,1.585,1.585
MM/DD/YYYY,NP,84,44,10,1,Scheduling_appt,1.213,0.3864,2.308338,6,7,8,4,17,2,-0.2895,-0.0671,0.1255,-0.8745,1.213,-1.8745
in Org3,PP,2,1,7,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
Org3,NP,5,3,4,1,General_information,2.0,0.6667,0.918296,0,0,0,2,1,0,,,,2.0,1.0,
on a MM/DD/YYYY morning,PP,4,2,23,4,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,2,0,,,,,2.585,
a MM/DD/YYYY morning,NP,4,2,20,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,2,0,,,,,2.585,
Can you put,VP,1,1,11,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
you,NP,94,54,3,1,Scheduling_appt,1.078,0.3519,2.322669,12,8,5,8,19,2,0.415,-0.1699,-0.848,-0.1699,1.078,-2.1699
an order,NP,4,3,8,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,3,0,,,,,2.585,
Person2,NP,8,5,7,1,Scheduling_appt,1.263,0.4,1.921928,1,0,1,1,2,0,0.263,,0.263,0.263,1.263,
to have,VP,2,2,7,2,General_information,1.585,0.5,1.0,0,0,0,1,1,0,,,,1.585,1.585,
his port,NP,1,1,8,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
flushed,VP,1,1,7,1,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
for the middle,PP,1,1,14,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
So,ADVP,2,1,2,1,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
no need,NP,1,1,7,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
to schedule,VP,17,9,11,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,9,0,,,,,2.585,
anything,NP,6,3,8,1,General_information,1.0,0.3333,1.584963,0,0,0,1,1,1,,,,1.0,1.0,1.0
besides the call,PP,2,1,16,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
the call,NP,2,1,8,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
with Dr Person2,PP,4,2,15,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,2,0,,,,,2.585,
Dr Person2,NP,11,6,10,2,Care_Coordination,1.585,0.5,1.459148,3,0,0,1,2,0,1.585,,,0.0,1.0,
Thank,VP,1,1,5,1,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
for your help,PP,1,1,13,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
your help,NP,1,1,9,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
So no need,NP,1,1,10,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
I,NP,275,147,1,1,Care_Coordination,0.1926,0.1905,2.579037,28,24,23,26,25,21,0.1926,-0.0297,-0.0911,0.0857,0.0291,-0.2224
doing,VP,5,3,5,1,General_information,2.0,0.6667,0.918296,0,0,0,2,0,1,,,,2.0,,1.0
Currently,ADVP,2,1,9,1,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
my lab work,NP,2,1,11,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
is,VP,84,46,2,1,Symptoms,0.6464,0.2609,2.529438,6,6,7,6,9,12,-0.3536,-0.3536,-0.1312,-0.3536,0.2313,0.6464
scheduled,VP,13,9,9,1,Scheduling_appt,2.415,0.8889,0.503258,1,0,0,0,8,0,-0.585,,,,2.415,
to be done,VP,2,1,10,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
be,VP,8,4,2,1,Diagnostics,0.585,0.25,2.0,0,1,1,1,1,0,,0.585,0.585,0.585,0.585,
on MM/DD/YYYY,PP,28,19,13,2,Scheduling_appt,1.337,0.4211,2.018216,5,3,2,1,8,0,0.659,-0.078,-0.663,-1.663,1.337,
see,VP,9,8,3,1,Scheduling_appt,1.585,0.5,1.75,1,1,2,0,4,0,-0.415,-0.415,0.585,,1.585,
diarrhea,NP,4,2,8,1,Symptoms,2.585,1.0,0.0,0,0,0,0,0,2,,,,,,2.585
was throwing,VP,1,1,12,2,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
i,NP,9,7,1,1,General_information,1.3626,0.4286,1.842371,0,1,0,3,2,1,,-0.2224,,1.3626,0.7776,-0.2224
got,VP,7,4,3,1,Care_Coordination,0.585,0.25,2.0,1,0,0,1,1,1,0.585,,,0.585,0.585,0.585
was throwing up,VP,1,1,15,3,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
is he taking,VP,4,2,12,3,Drugs,2.585,1.0,0.0,0,0,2,0,0,0,,,2.585,,,
he,NP,16,10,2,1,Drugs,1.263,0.4,1.846439,2,0,4,3,0,1,0.263,,1.263,0.848,,-0.737
the Eliquis,NP,2,1,11,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
referral,NP,2,1,8,1,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
in,ADVP,1,1,2,1,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
Are you feeling,VP,2,1,15,3,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
take,VP,5,3,4,1,Drugs,2.0,0.6667,0.918296,1,0,2,0,0,0,1.0,,2.0,,,
Tums,NP,2,1,4,1,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
sometimes,ADVP,4,3,9,1,Diagnostics,1.0,0.3333,1.584963,0,1,1,0,0,1,,1.0,1.0,,,1.0
going,VP,4,2,5,1,Drugs,1.585,0.5,1.0,0,0,1,0,0,1,,,1.585,,,1.585
to clean,VP,2,1,8,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
it,NP,64,39,2,1,Drugs,0.2996,0.2051,2.538751,6,5,8,8,4,8,-0.1155,-0.3785,0.2996,0.2996,-0.7004,0.2996
with peroxide,PP,2,1,13,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
peroxide,NP,2,1,8,1,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
what,NP,7,5,4,1,Drugs,1.263,0.4,1.921928,1,1,2,0,0,1,0.263,0.263,1.263,,,0.263
happens,VP,4,3,7,1,Symptoms,2.0,0.6667,0.918296,0,0,1,0,0,2,,,1.0,,,2.0
Have you checked,VP,2,1,16,3,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
with your cardiologist,PP,2,1,22,3,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
your cardiologist,NP,2,1,17,2,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
your ankle,NP,2,1,10,2,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
swelling,VP,6,2,8,1,Care_Coordination,1.585,0.5,1.0,1,0,0,0,0,1,1.585,,,,,1.585
Does Dr. Person3 want,VP,2,1,21,4,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
Dr. Person3,NP,9,5,11,2,Care_Coordination,2.263,0.8,0.721928,4,0,1,0,0,0,2.263,,0.263,,,
Person1,NP,14,10,7,1,Care_Coordination,0.848,0.3,1.970951,3,0,2,3,0,2,0.848,,0.263,0.848,,0.263
to continue,VP,4,2,11,2,Drugs,2.585,1.0,0.0,0,0,2,0,0,0,,,2.585,,,
Someone,NP,2,1,7,1,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
should call,VP,2,1,11,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
typically,ADVP,2,1,9,1,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
the answer,NP,2,1,10,2,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
has been,VP,10,6,8,2,Diagnostics,1.585,0.5,1.0,0,3,0,0,0,3,,1.585,,,,1.585
Will that be covered,VP,2,1,20,4,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
that,NP,23,16,4,1,Drugs,0.9069,0.3125,2.352217,1,3,5,4,2,1,-1.415,0.1699,0.9069,0.585,-0.415,-1.415
Dr.  Person1,NP,1,1,12,2,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
calls,VP,1,1,5,1,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
me,NP,38,24,2,1,Care_Coordination,0.3219,0.2083,2.554585,5,5,3,4,4,3,0.3219,0.3219,-0.415,0.0,0.0,-0.415
to discuss,VP,1,1,10,2,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
the test results,NP,1,1,16,3,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
a very good marker,NP,3,2,18,4,Diagnostics,2.585,1.0,0.0,0,2,0,0,0,0,,2.585,,,,
very,ADVP,8,5,4,1,Symptoms,1.848,0.6,0.970951,0,2,0,0,0,3,,1.263,,,,1.848
for you,PP,5,4,7,2,Diagnostics,1.585,0.5,1.0,0,2,0,0,2,0,,1.585,,,1.585,
agree,VP,6,5,5,1,Diagnostics,2.263,0.8,0.721928,1,4,0,0,0,0,0.263,2.263,,,,
the CA27.29,NP,7,4,11,2,Diagnostics,2.585,1.0,0.0,0,4,0,0,0,0,,2.585,,,,
will get,VP,2,1,8,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
the flu shot,NP,2,1,12,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
come,VP,4,2,4,1,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,2,0,,,,,2.585,
can assist,VP,3,2,10,2,General_information,2.585,1.0,0.0,0,0,0,2,0,0,,,,2.585,,
any appointments,NP,2,1,16,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
reminders,NP,2,1,9,1,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
did not receive,VP,1,1,15,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
care,NP,2,1,4,1,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
of these prescriptions,PP,2,1,22,3,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
these prescriptions,NP,2,1,19,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
now,ADVP,14,9,3,1,Symptoms,1.415,0.4444,2.058814,1,2,1,0,1,4,-0.585,0.415,-0.585,,-0.585,1.415
we,NP,23,13,2,1,Scheduling_appt,1.4695,0.4615,1.987773,1,3,1,2,6,0,-1.1155,0.4695,-1.1155,-0.1155,1.4695,
too,ADVP,3,2,3,1,General_information,1.585,0.5,1.0,0,0,0,1,0,1,,,,1.585,,1.585
are following,VP,2,1,13,2,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
the CDC guidelines,NP,2,1,18,3,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
at this time,PP,2,1,12,3,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
this time,NP,2,1,9,2,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
Best,ADVP,1,1,4,1,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
of right leg,PP,2,1,12,3,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
right leg,NP,2,1,9,2,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
persists,VP,2,1,8,1,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
Sig,NP,2,1,3,1,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
improving,VP,1,1,9,1,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
slightly,ADVP,1,1,8,1,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
Bactrim,NP,2,1,7,1,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
given,VP,4,2,5,1,Drugs,1.585,0.5,1.0,0,0,1,1,0,0,,,1.585,1.585,,
to prevent,VP,2,1,10,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
this,NP,23,14,4,1,Symptoms,0.7776,0.2857,2.46772,1,2,3,2,2,4,-1.2224,-0.2224,0.3626,-0.2224,-0.2224,0.7776
has done,VP,2,1,8,2,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
well managing pain,NP,2,1,18,3,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
managing,VP,2,1,8,1,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
eliminating,VP,1,1,11,1,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
well,ADVP,15,8,4,1,Care_Coordination,1.585,0.5,1.75,4,0,1,2,0,1,1.585,,-0.415,0.585,,-0.415
Usually,ADVP,2,1,7,1,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
takes,VP,6,4,5,1,Diagnostics,0.585,0.25,2.0,0,1,1,1,1,0,,0.585,0.585,0.585,0.585,
the pharmacy MM/DD/YYYY,NP,2,1,23,3,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
to call,VP,5,3,7,2,Care_Coordination,2.0,0.6667,0.918296,2,0,1,0,0,0,2.0,,1.0,,,
regarding,VP,2,1,9,1,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
regarding delivery,PP,2,1,18,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
delivery,NP,2,1,8,1,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
of my meds,PP,2,1,10,3,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
my meds,NP,2,1,7,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
's,VP,8,6,2,1,Diagnostics,1.0,0.3333,1.918296,0,2,1,2,0,1,,1.0,0.0,1.0,,0.0
obviously,ADVP,2,1,9,1,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
depends,VP,1,1,7,1,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
on pandemic,PP,1,1,11,2,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
sent,VP,12,6,4,1,Care_Coordination,2.3219,0.8333,0.650022,5,1,0,0,0,0,2.3219,0.0,,,,
your message,NP,8,4,12,2,Care_Coordination,2.585,1.0,0.0,4,0,0,0,0,0,2.585,,,,,
Dr. Person2,NP,13,8,11,2,Care_Coordination,2.3923,0.875,0.543564,7,0,0,0,0,1,2.3923,,,,,-0.415
to ask,VP,10,6,6,2,Care_Coordination,1.0,0.3333,1.918296,2,0,0,2,1,1,1.0,,,1.0,0.0,0.0
her,NP,6,4,3,1,Care_Coordination,1.585,0.5,1.5,2,0,0,1,1,0,1.585,,,0.585,0.585,
None,NP,1,1,4,1,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
an oversight,NP,2,1,12,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
planned,VP,2,1,7,1,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
wanted,VP,5,3,6,1,Symptoms,2.0,0.6667,0.918296,0,1,0,0,0,2,,1.0,,,,2.0
to go,VP,5,3,5,2,Drugs,2.0,0.6667,0.918296,0,0,2,0,0,1,,,2.0,,,1.0
to a walk-in,PP,2,1,12,3,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
a walk-in,NP,2,1,9,2,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
my left ear,NP,2,1,11,3,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
feels,VP,3,2,5,1,Symptoms,2.585,1.0,0.0,0,0,0,0,0,2,,,,,,2.585
infected,VP,2,1,8,1,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
inflamed,VP,1,1,8,1,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
also,ADVP,23,11,4,1,Care_Coordination,1.1255,0.3636,1.823068,4,0,2,0,1,4,1.1255,,0.1255,,-0.8745,1.1255
was,VP,34,18,3,1,Care_Coordination,1.585,0.5,1.876358,9,4,1,3,0,1,1.585,0.415,-1.585,0.0,,-1.585
prescribed,VP,2,1,10,1,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
prescribed steriods,NP,2,1,19,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
for the asthma,PP,2,1,14,3,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
the asthma,NP,2,1,10,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
645 south main st  LOCATION,NP,2,1,27,5,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
ct MM/DD/YYYYPh,NP,1,1,15,2,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
-XXX-XXXX,NP,1,1,9,1,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
XXX,NP,1,1,3,1,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
Adjudication office,NP,1,1,19,2,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
put,VP,4,2,3,1,Care_Coordination,1.585,0.5,1.0,1,0,0,0,1,0,1.585,,,,1.585,
a referral,NP,8,4,10,2,Care_Coordination,2.585,1.0,0.0,4,0,0,0,0,0,2.585,,,,,
didn't see,VP,1,1,10,2,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
has not helped,VP,2,1,14,3,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
Your Hemoglobin,NP,2,1,15,2,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
platelets,NP,2,1,9,1,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
are,VP,14,8,3,1,Care_Coordination,1.585,0.5,2.0,4,1,0,1,1,1,1.585,-0.415,,-0.415,-0.415,-0.415
remain,VP,2,1,6,1,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
will have,VP,3,2,9,2,Care_Coordination,1.585,0.5,1.0,1,0,0,0,1,0,1.585,,,,1.585,
our scheduling team,NP,2,1,19,3,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
look,VP,2,1,4,1,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
We,NP,8,4,2,1,Scheduling_appt,1.585,0.5,1.5,0,1,0,1,2,0,,0.585,,0.585,1.585,
do not have,VP,2,1,11,3,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
a comparison,NP,2,1,12,2,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
for the CEA,PP,2,1,11,3,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
the CEA,NP,6,3,7,2,Diagnostics,2.585,1.0,0.0,0,3,0,0,0,0,,2.585,,,,
Dr  Person1,NP,8,4,11,2,Care_Coordination,2.1699,0.75,0.811278,3,0,0,0,1,0,2.1699,,,,0.585,
will also give,VP,1,1,14,3,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
Dr. Person1 Dr. Person2 cell  phone,NP,2,1,35,6,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
they,NP,15,9,4,1,Diagnostics,1.415,0.4444,1.752715,1,4,0,3,0,1,-0.585,1.415,,1.0,,-0.585
can touch,VP,1,1,9,2,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
give,VP,1,1,4,1,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
had,VP,14,8,3,1,Diagnostics,1.1699,0.375,1.811278,1,3,3,0,0,1,-0.415,1.1699,1.1699,,,-0.415
in MM/DD/YYYY,PP,6,3,13,2,Diagnostics,1.0,0.3333,1.584963,0,1,1,0,1,0,,1.0,1.0,,1.0,
am going,VP,2,1,8,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
to need,VP,2,1,7,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
refills,NP,2,1,7,1,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
on my Ibrance,PP,2,1,13,3,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
my Ibrance,NP,2,1,10,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
Do you want,VP,2,1,11,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
to get,VP,13,7,6,2,Scheduling_appt,1.3626,0.4286,1.842371,2,0,1,0,3,1,0.7776,,-0.2224,,1.3626,-0.2224
your office,NP,3,2,11,2,Diagnostics,1.585,0.5,1.0,0,1,0,1,0,0,,1.585,,1.585,,
will send,VP,1,1,9,2,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
CT scan,NP,2,1,7,2,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
report,VP,2,1,6,1,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
